Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer_Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit_Margin,order_year,order_month
1,US-2020-103800,2020-01-03,2020-01-07,Standard Class,DP-13000,darren powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"message book, wirebound, four 5 1/2"" x 4"" forms/pg., 200 dupl. sets/book",16.448,2,0.2,5.551199999999998,0.33749999999999986,2020,1
2,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,phillina ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,gbc standard plastic binding systems combs,3.539999999999999,2,0.8,-5.487,-1.5500000000000005,2020,1
3,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,phillina ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,avery 508,11.784,3,0.2,4.271699999999999,0.36249999999999993,2020,1
4,US-2020-112326,2020-01-04,2020-01-08,Standard Class,PO-19195,phillina ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,safco boltless steel shelving,272.736,3,0.2,-64.77480000000001,-0.23750000000000004,2020,1
5,US-2020-141817,2020-01-05,2020-01-12,Standard Class,MB-18085,mick brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"avery hi-liter everbold pen style fluorescent highlighters, 4/pack",19.536,3,0.2,4.884,0.25,2020,1
6,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,global deluxe high-back manager's chair,2573.82,9,0.0,746.4077999999997,0.28999999999999987,2020,1
7,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,rogers handheld barrel pencil sharpener,5.48,2,0.0,1.4796000000000005,0.2700000000000001,2020,1
8,US-2020-106054,2020-01-06,2020-01-07,First Class,JO-15145,jack o'briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"dixon prang watercolor pencils, 10-color set with brush",12.78,3,0.0,5.2398,0.41000000000000003,2020,1
9,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,ibico hi-tech manual binding system,609.98,2,0.0,274.491,0.44999999999999996,2020,1
10,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,"alliance super-size bands, assorted sizes",31.12,4,0.0,0.3111999999999995,0.009999999999999983,2020,1
11,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,southworth 25% cotton granite paper & envelopes,6.54,1,0.0,3.0084,0.45999999999999996,2020,1
12,US-2020-130813,2020-01-06,2020-01-08,Second Class,LS-17230,lycoris saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,xerox 225,19.44,3,0.0,9.3312,0.48000000000000004,2020,1
13,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,wireless extenders zboost yx545 soho signal booster,755.96,4,0.0,204.1092,0.26999999999999996,2020,1
14,US-2020-167199,2020-01-06,2020-01-10,Standard Class,ME-17320,maria etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,ge 30524ee4,391.98,2,0.0,113.67419999999998,0.2899999999999999,2020,1
15,US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,vivek sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"howard miller 14-1/2"" diameter chrome round wall clock",76.72800000000001,3,0.6,-53.70959999999999,-0.6999999999999997,2020,1
16,US-2020-105417,2020-01-07,2020-01-12,Standard Class,VS-21820,vivek sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"acco four pocket poly ring binder with label holder, smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005,-1.7500000000000009,2020,1
17,US-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,melanie seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,newell 312,9.344,2,0.2,1.1679999999999997,0.12499999999999997,2020,1
18,US-2020-135405,2020-01-09,2020-01-13,Standard Class,MS-17830,melanie seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,memorex micro travel drive 8 gb,31.200000000000003,3,0.2,9.749999999999996,0.31249999999999983,2020,1
19,US-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,anthony jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"howard miller 11-1/2"" diameter ridgewood wall clock",51.94,1,0.0,21.2954,0.41000000000000003,2020,1
20,US-2020-149020,2020-01-10,2020-01-15,Standard Class,AJ-10780,anthony jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,avery 482,2.89,1,0.0,1.3583,0.47000000000000003,2020,1
21,US-2020-130092,2020-01-11,2020-01-14,First Class,SV-20365,seth vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"dax value u-channel document frames, easel back",9.94,2,0.0,3.0813999999999995,0.30999999999999994,2020,1
22,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,brian dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"o'sullivan elevations bookcase, cherry finish",333.99899999999997,3,0.15,3.929400000000008,0.011764705882352967,2020,1
23,US-2020-109232,2020-01-13,2020-01-16,Second Class,ND-18370,natalie decherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,global highback leather tilter in burgundy,545.9399999999999,6,0.0,87.35040000000004,0.1600000000000001,2020,1
24,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,brian dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 highlighters by sanford,19.9,5,0.0,6.566999999999998,0.32999999999999996,2020,1
25,US-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,michael moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,avery metallic poly binders,3.4380000000000006,2,0.7,-2.5212000000000003,-0.7333333333333333,2020,1
26,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,chris selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0.0,2.7071999999999994,0.4799999999999999,2020,1
27,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,chris selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,brown kraft recycled envelopes,50.94,3,0.0,25.47,0.5,2020,1
28,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,chris selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,staple envelope,11.36,2,0.0,5.339199999999999,0.4699999999999999,2020,1
29,US-2020-118192,2020-01-13,2020-01-18,Standard Class,MM-17920,michael moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,xerox 1923,37.408,7,0.2,13.0928,0.35,2020,1
30,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,chris selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,fellowes stor/drawer steel plus storage drawers,572.58,6,0.0,34.354799999999955,0.059999999999999915,2020,1
31,US-2020-157147,2020-01-13,2020-01-18,Standard Class,BD-11605,brian dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,tennsco 6- and 18-compartment lockers,1325.8500000000001,5,0.0,238.6529999999999,0.1799999999999999,2020,1
32,US-2020-162775,2020-01-13,2020-01-15,Second Class,CS-12250,chris selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,plantronics s12 corded telephone headset system,646.74,6,0.0,258.696,0.4,2020,1
33,US-2020-149524,2020-01-14,2020-01-15,First Class,BS-11590,brendan sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,sauder cornerstone collection library,61.96,4,0.5,-53.28560000000001,-0.8600000000000001,2020,1
34,US-2020-103366,2020-01-15,2020-01-17,First Class,EH-13990,erica hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,logitech 910-002974 m325 wireless mouse for web scrolling,149.95,5,0.0,65.97800000000001,0.4400000000000001,2020,1
35,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,delfina latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,dax black cherry wood-tone poster frame,127.10400000000001,6,0.2,28.598399999999998,0.22499999999999995,2020,1
36,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,delfina latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,gbc linen binding covers,18.588000000000005,2,0.7,-13.6312,-0.7333333333333332,2020,1
37,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,delfina latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,round specialty laser printer labels,30.072000000000003,3,0.2,10.149299999999997,0.33749999999999986,2020,1
38,US-2020-115791,2020-01-16,2020-01-18,Second Class,DL-13315,delfina latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,at&t 841000 phone,124.19999999999999,3,0.4,-31.05000000000001,-0.2500000000000001,2020,1
39,US-2020-123477,2020-01-18,2020-01-21,Second Class,DW-13195,david wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,fellowes mighty 8 compact surge protector,64.864,4,0.2,6.486400000000003,0.10000000000000005,2020,1
